央视,#genre#
CCTV-1综合,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv1.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-1/1.m3u8
CCTV-2财经,http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv2.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-2/1.m3u8
CCTV-3综艺,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv3.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/1.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-3/1.m3u8
CCTV-4中文国际,http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv4.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-4/1.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv5hd.m3u8
CCTV-6电影,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv6.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/1.m3u8#http://118.123.60.5:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=093&Provider_id=&Pcontent_id=index.m3u8
CCTV-7国防军事,http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv7.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-7/1.m3u8
CCTV-8电视剧,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv8.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225608/1.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-8/1.m3u8
CCTV-9纪录,http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv9.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-news/1.m3u8
CCTV-10科教,http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8#http://ivi.bupt.edu.cn/hls/cctv10.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8#http://117.169.124.36:6610/ysten-businessmobile/live/cctv-10/1.m3u8
